row_idx	cfg_id	method	preset	budget	seed	experiment_id	model_flag	skip_preprocess	skip_baseline	baseline_epochs	run_root	stage1_overrides	stage2_overrides	stage3_overrides
0	cfg_00000_459ad0cb4d	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00000_459ad0cb4d	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
1	cfg_00001_6c57647f15	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00001_6c57647f15	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
2	cfg_00002_8968ae0c98	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00002_8968ae0c98	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
3	cfg_00003_6f3c515e07	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00003_6f3c515e07	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
4	cfg_00004_b1c5040496	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00004_b1c5040496	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
5	cfg_00005_ebbcb0ab75	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00005_ebbcb0ab75	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
6	cfg_00006_908009c89e	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00006_908009c89e	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
7	cfg_00007_88aba7ce1b	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00007_88aba7ce1b	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
8	cfg_00008_2044aae173	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00008_2044aae173	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
9	cfg_00009_123f37f81a	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00009_123f37f81a	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
10	cfg_00010_244bc799a5	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00010_244bc799a5	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
11	cfg_00011_900e228540	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00011_900e228540	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
12	cfg_00012_cf3d53c128	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00012_cf3d53c128	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
13	cfg_00013_cecbe01307	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00013_cecbe01307	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
14	cfg_00014_3475049676	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00014_3475049676	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
15	cfg_00015_3b12601735	qbc_deep_ensemble	main	b1024	s01	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00015_3b12601735	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
16	cfg_00016_767d05134b	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00016_767d05134b	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
17	cfg_00017_781b9b2932	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00017_781b9b2932	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
18	cfg_00018_6b312d84e2	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00018_6b312d84e2	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
19	cfg_00019_eccf3bad1f	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00019_eccf3bad1f	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
20	cfg_00020_2bc25ca56b	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00020_2bc25ca56b	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
21	cfg_00021_887e27471e	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00021_887e27471e	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
22	cfg_00022_103a99cb97	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00022_103a99cb97	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
23	cfg_00023_3bb5b4b1f1	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00023_3bb5b4b1f1	active.disagreement.metric=member_l2_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=3;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
24	cfg_00024_6fc35c82d5	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00024_6fc35c82d5	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
25	cfg_00025_2b74af1307	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00025_2b74af1307	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.2;;active.diversity.preselect_factor=3;;active.diversity.uncertainty_weight=0.8;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
26	cfg_00026_fc069d450a	qbc_deep_ensemble	main	b1024	s02	thesis_qbc_hpo_stage1	SM4	true	true		/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260301_155559/runs/cfg_00026_fc069d450a	active.disagreement.metric=variance_mean;;active.diversity.distance_weight=0.4;;active.diversity.preselect_factor=5;;active.diversity.uncertainty_weight=0.6;;active.log_every=5;;qbc_K=64;;qbc_M=5;;qbc_P=2048;;qbc_T=15;;qbc_enable_logging=true;;qbc_n0=64		
